name,city,district,coord,bc_type,road_cond,unit_rent,bound_rent,audit_date,transit_count,industrial_count,mall_count,hub_highway,hub_railway,hub_coach,hub_airport
龙岗鸿基路站,深圳,龙岗区,"114.290955,22.726554",一般区域,高优通达,741.0,800.0,2025-06-14,3,6,9,0,1,1,0
东城市民休闲公园站,东莞,东城区,"113.803914,23.020406",一般区域,一般通达,800.0,750.0,2025-06-14,0,3,10,0,0,0,0
塘厦塘厦大道中站（星达名车）,东莞,塘厦镇,"114.09810487776589, 22.8188979083506",一般区域,一般通达,700.0,700.0,2025-06-14,0,0,0,0,0,0,0
宝安兴业东路站（华富工业区，二选一）,深圳,宝安区,"113.80341,22.707465",一般区域,一般通达,900.0,1000.0,2025-06-25,2,0,15,0,0,0,0
黄埔神舟路站,广州,黄埔区,"113.430502,23.163727",核心商圈,高优通达,550.0,800.0,2025-07-05,2,0,3,4,2,0,0
番禺大学城北亭站（爱充大学城),广州,番禺区,"113.375986,23.047948",次级商圈,一般通达,450.0,600.0,2025-06-25,2,0,5,0,2,0,0
白云云霄路站（5号停机坪(较稳定6-27)）,广州,白云区,"113.265714,23.183614",核心商圈,一般通达,1000.0,1200.0,2025-06-25,0,0,20,0,0,0,0
南岗鹿布牌坊(较稳定6-27),广州,黄埔区,"113.538111,23.082595",一般区域,一般通达,923.0769230769231,800.0,2025-06-25,2,0,10,4,0,0,0
南海大沥腾龙路站-大沥永旺梦乐城(较稳定6-27),佛山,南海区,"113.144013,23.114541",核心商圈,一般通达,700.0,700.0,2025-06-25,0,0,21,14,2,0,0
高明平山大道站-(替代高明客运站),佛山,高明区,"112.864289,22.910851",一般区域,高优通达,600.0,600.0,2025-06-25,0,0,8,0,0,0,0
龙岗吉华路站（吉通工业园）,深圳,龙岗区,"114.076475,22.639998",一般区域,一般通达,980.0,1000.0,2025-07-06,6,6,14,4,0,0,0
南山沙河西路站,深圳,南山区,"113.952591,22.582192",次级商圈,高优通达,1316.8,1500.0,2025-07-06,4,1,8,3,1,0,0
